,CLAGE,CLNO,DEBTINC,DELINQ,DEROG,JOB,LOAN,MORTDUE,NINQ,REASON,VALUE,YOJ
1587,89.4,7.0,,0.0,0.0,Other,11500,47597.57,0.0,DebtCon,75937.5,13.5
66,88.47045,14.0,29.393543,0.0,0.0,Office,3600,100693.0,0.0,HomeImp,114743.0,6.0
1110,180.63333,33.0,,1.0,,ProfExe,9900,111000.0,1.0,DebtCon,134347.0,16.0
3552,315.2605,5.0,39.675835,0.0,0.0,Sales,18700,11886.0,0.0,DebtCon,63762.0,0.0
4721,298.33334,31.0,,0.0,0.0,Sales,25000,109000.0,1.0,DebtCon,175000.0,17.0
2030,367.94003,6.0,36.56114,0.0,0.0,Other,13000,,0.0,HomeImp,72175.0,
3944,189.95592,42.0,40.86268,,,ProfExe,20600,138918.0,4.0,DebtCon,175989.0,5.0
4406,201.78575,18.0,41.14075,0.0,1.0,Mgr,22900,107241.0,5.0,DebtCon,138883.0,9.0
5442,210.92241,49.0,41.264805,1.0,0.0,Mgr,32300,235343.0,3.0,DebtCon,45270.0,3.0
1548,173.71184,29.0,38.55693,3.0,2.0,Office,11300,66814.0,3.0,DebtCon,82021.0,4.0
1774,167.4,17.0,,0.0,0.0,Other,12100,22000.0,1.0,DebtCon,38750.0,0.8
631,185.6216,22.0,32.285725,0.0,0.0,Office,7900,44690.0,0.0,DebtCon,45841.0,10.0
4416,314.2737,19.0,37.743725,1.0,0.0,Other,23000,,0.0,DebtCon,56390.0,
2560,247.56667,21.0,,0.0,0.0,Mgr,15000,135442.0,0.0,DebtCon,175900.0,11.0
4541,85.12836,12.0,24.99136,,,Other,23700,,,DebtCon,46665.0,
3717,99.08554,8.0,37.5183,,,Other,19600,53662.0,0.0,DebtCon,80055.0,6.0
5096,287.2268,30.0,38.48695,1.0,,Other,27300,44026.0,0.0,DebtCon,71597.0,22.0
4789,304.19516,12.0,31.599464,0.0,0.0,Other,25100,28778.0,,DebtCon,50872.0,28.0
135,101.746765,8.0,33.243156,0.0,0.0,Other,4900,25597.0,0.0,HomeImp,23031.0,5.0
5846,106.688286,25.0,37.312096,0.0,0.0,Office,50900,53334.0,1.0,DebtCon,63298.0,12.0
3720,382.31223,52.0,36.067963,1.0,,Office,19600,128876.0,,DebtCon,162994.0,2.0
3540,229.27444,11.0,35.80007,0.0,0.0,Office,18600,43438.0,0.0,DebtCon,69441.0,1.0
5866,253.3513,14.0,42.836956,0.0,2.0,Other,52700,23905.0,7.0,HomeImp,82670.0,4.0
5700,108.87012,20.0,26.98944,,6.0,Other,41600,,,DebtCon,53078.0,
1850,133.49754,21.0,36.91048,0.0,0.0,Office,12300,90006.0,1.0,DebtCon,121122.0,9.0
628,220.80244,24.0,31.827627,0.0,0.0,ProfExe,7800,53243.0,2.0,HomeImp,95065.0,7.0
1942,346.5801,22.0,13.347213,1.0,1.0,Other,12700,9038.0,0.0,HomeImp,65969.0,7.0
633,87.60346,11.0,31.850563,0.0,0.0,Other,7900,40827.0,0.0,DebtCon,55757.0,14.0
2018,355.13123,21.0,15.823616,0.0,2.0,Other,13000,15374.0,1.0,HomeImp,59309.0,6.0
4836,303.73795,27.0,16.644674,5.0,0.0,ProfExe,25400,136322.0,1.0,DebtCon,,2.0
2296,95.94866,9.0,34.166344,,,Other,13900,,1.0,DebtCon,27779.0,12.0
2078,178.61237,13.0,38.763313,0.0,0.0,Other,13100,50552.0,0.0,DebtCon,59889.0,4.0
1976,125.534805,27.0,39.46266,0.0,0.0,Mgr,12800,77318.0,2.0,DebtCon,97616.0,6.0
1274,165.55319,9.0,23.886332,,,Mgr,10300,,,HomeImp,50548.0,5.0
678,168.23334,30.0,,0.0,0.0,Other,8000,36000.0,3.0,DebtCon,115800.0,
4030,174.42897,15.0,38.593376,0.0,0.0,Other,21000,,1.0,HomeImp,91455.0,7.0
4525,125.701706,19.0,33.22432,0.0,1.0,ProfExe,23600,94908.0,0.0,DebtCon,101678.0,1.0
3523,103.504295,16.0,40.956596,0.0,0.0,,18600,58992.0,0.0,DebtCon,86816.0,4.0
660,82.63333,20.0,,0.0,0.0,Other,8000,47306.0,0.0,HomeImp,68350.0,9.0
334,70.69533,18.0,24.766745,0.0,0.0,Other,6100,47604.0,0.0,HomeImp,54966.0,5.0
3090,106.39857,17.0,26.696716,0.0,1.0,Mgr,16800,23670.0,0.0,DebtCon,41879.0,17.0
5611,195.83333,22.0,,1.0,0.0,Mgr,38000,58200.0,0.0,DebtCon,108000.0,16.0
2188,115.32388,24.0,36.850857,0.0,0.0,Office,13600,64799.0,0.0,DebtCon,84425.0,14.0
5049,70.281906,22.0,34.3963,0.0,0.0,Office,26900,57414.0,0.0,DebtCon,92916.0,0.0
1882,183.63333,15.0,,5.0,0.0,Office,12500,53060.0,0.0,DebtCon,67500.0,16.0
1205,118.666664,15.0,,0.0,0.0,Other,10000,36000.0,6.0,DebtCon,68800.0,13.0
1563,354.29028,15.0,38.14307,0.0,0.0,Office,11400,125486.0,0.0,HomeImp,195284.0,0.0
3308,104.592865,25.0,35.592255,2.0,1.0,Other,17600,67285.0,2.0,DebtCon,90816.0,1.0
4056,135.26454,13.0,38.82317,0.0,0.0,Office,21200,70400.0,0.0,HomeImp,96999.0,14.0
3034,247.27841,14.0,24.35795,0.0,0.0,Other,16500,44946.0,0.0,HomeImp,64918.0,25.0
651,138.5116,22.0,39.735447,0.0,0.0,Sales,8000,177683.0,0.0,DebtCon,251771.0,
